"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2008,"01-OCT-08",9/30/2009,"30-SEP-09","Reopened","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,8922558,,,,,370,135050,43844,88963,,,8146,4227,18135
"010005","010005",10/1/2008,"01-OCT-08",9/30/2009,"30-SEP-09","Settled","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,2241149,,,,,114,41610,10627,22929,621.400024414062,,2255,1084,5712
"010006","010006",7/1/2009,"01-JUL-09",6/30/2010,"30-JUN-10","Reopened","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631                                   ","LAUDERDALE                              ",,,,3014975,,,,,358,130670,27500,54336,857.820007324219,,5072,2073,12490
"010007","010007",10/1/2008,"01-OCT-08",9/30/2009,"30-SEP-09","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,296122,,,,,78,28470,5883,8542,161.110000610352,,1256,238,2173
"010008","010008",1/1/2009,"01-JAN-09",12/31/2009,"31-DEC-09","Settled","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049-                                  ","CRENSHAW                                ",,,,187663,108421,,,,29,10585,1835,4170,92.6500015258789,,376,294,1007
"010009","010009",2/1/2009,"01-FEB-09",1/31/2010,"31-JAN-10","Settled","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,168204,,,,,130,47450,3037,4569,126.620002746582,,774,106,1323
"010010","010010",10/1/2008,"01-OCT-08",9/30/2009,"30-SEP-09","Settled","MARSHALL MEDICAL CENTER - NORTH         ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976-                                  ","MARSHALL                                ",,,,1170308,,,,,90,32850,9805,18297,489.5,,2020,588,4227
"010011","010011",7/1/2009,"01-JUL-09",6/30/2010,"30-JUN-10","Reopened","ST. VINCENT S EAST                      ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1417773,,2023980,,,756688,245205,302,110230,22077,71197,1294.78002929688,,4127,1480,14116
"010012","010012",4/1/2009,"01-APR-09",3/31/2010,"31-MAR-10","Settled","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DR                   ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,1220783,,,,,103,37595,6358,15619,376,,1819,961,4793
"010015","010015",4/1/2009,"01-APR-09",3/31/2010,"31-MAR-10","Settled","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784-                                  ","CLARKE                                  ",,,,156960,,,,,27,9855,1664,3073,95.3600006103516,,536,311,1156
"010016","010016",10/1/2008,"01-OCT-08",9/30/2009,"30-SEP-09","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,2196836,,,,,191,69715,15428,47117,737.030029296875,,3384,2042,10121
