"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Reopened","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","363010000                               ","HOUSTON                                 ",,,,6958102,,,,,353,137970,44480,83392,1939.5,,8737,3064,19477
"010004","010004",10/1/2000,"01-OCT-00",8/31/2001,"31-AUG-01","Settled","NORTH JACKSON HOSPITAL                  ","47065 ALABAMA HWAY 277                  ","88                                      ","BRIDGEPORT                              ","AL                                      ","35740                                   ",,,,,25944,,,,,49,16415,1277,2195,93.6600036621094,,372,92,763
"010005","010005",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","MARSHALL MEDICAL CENTER SOUTH           ","HIGHWAY 431                             ",,"BOAZ                                    ","AL                                      ","35957                                   ",,,,,1367855,,,,,108,39420,13800,22379,541.97998046875,,2613,910,5862
"010006","010006",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631                                   ","LAUDERDALE                              ",,,,2910780,,,,,328,133590,46459,80983,1333,,7542,1477,16407
"010007","010007",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ",,,,,111772,,,,,90,36135,5077,7947,170,,1139,204,2024
"010008","010008",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","CRENSHAW BAPTIST HOSPITAL               ","10 BAPTIST LANE                         ",,"LUVERNE                                 ","AL                                      ","36049-                                  ",,,,,90719,,,,,34,12410,2250,3538,83.8000030517578,,536,163,977
"010009","010009",2/1/2001,"01-FEB-01",1/31/2002,"31-JAN-02","Reopened","HARTSELLE MEDICAL CENTER                ","300 WEST PINE                           ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,372577,,,,,130,47450,4722,5750,117.769996643066,,1148,93,1573
"010010","010010",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","MARSHALL MEDICAL CENTER NORTH           ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ",,,,,,199951,,,,90,37960,11049,21873,447,,2030,727,4621
"010011","010011",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","MEDICAL CENTER EAST                     ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ",,,1456787,,892617,,,898821,136038,237,90155,26904,59743,843,,5363,903,13849
"010012","010012",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","BMC - DEKALB                            ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,645354,,,,,103,37595,7445,16044,306.630004882812,,1533,808,4299
"010015","010015",4/1/2001,"01-APR-01",3/31/2002,"31-MAR-02","Reopened","THOMASVILLE INFIRMARY                   ","144 HIGHWAY 43 NORTH                    ",,"THOMASVILLE                             ","AL                                      ","36784-                                  ","CLARKE                                  ",,,,89018,,,,,27,9855,2021,3511,80,,557,182,1134
"010016","010016",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ","488                                     ","ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,1330663,,,,,170,65700,17679,42946,716.760009765625,,3618,1011,10047
"010018","010018",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ",,,,310991,,43838,,40142,211857,20,7300,412,1019,153.800003051758,,273,54,703
"010019","010019",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660                                   ",,,,,1160404,,,,,185,67525,16480,27793,590.359985351562,,2998,1192,7793
"010021","010021",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","DALE MEDICAL CENTER                     ","100 HOSPITAL AVENUE                     ",,"OZARK                                   ","AL                                      ","36360                                   ",,,,,141120,,,,,89,36135,5552,12584,290.119995117188,,1386,680,3286
"010022","010022",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","BAPTIST MEDICAL CENTER - CHEROKEE       ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960                                   ","CHEROKEE                                ",,,,144577,,,,,45,16425,3123,4464,84.3099975585938,,830,125,1389
"010023","010023",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ",,,2408958,,9673873,,,746081,121904,356,129940,33821,87546,1699.69995117188,,7127,4995,18934
"010024","010024",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","JACKSON HOSPITAL AND CLINIC             ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106                                   ",,,,,5380367,,,,,255,100010,38588,69019,1342,,6350,1161,13839
"010025","010025",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","GEORGE H. LANIER MEMORIAL HOSPITAL      ","4800 48TH STREET                        ",,"VALLEY                                  ","AL                                      ","36854                                   ",,,,,475249,,,,,101,36865,10253,17129,371.700012207031,,2193,988,4608
"010027","010027",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","ELBA GENERAL HOSPITAL                   ","987 DRAYTON STREET                      ",,"ELBA                                    ","AL                                      ","36323                                   ","COFFEE                                  ",,,,90152,,,,,20,7300,1823,3791,100.120002746582,,697,122,1553
"010029","010029",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Reopened","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802                                   ","LEE                                     ",,24545,,5629691,,,,,247,97455,34165,62832,1531.09997558594,,6891,1779,14982
"010031","010031",7/1/2001,"01-JUL-01",3/31/2002,"31-MAR-02","Reopened","PHENIX REGIONAL HOSPITAL                ","1707 21ST AVE                           ","190                                     ","PHENIX CITY                             ","AL                                      ","36868                                   ","RUSSELL                                 ",,,,1226173,,,,,109,32058,6295,11506,296.859985351562,,1168,711,2581
"010032","010032",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ","307                                     ","WEDOWEE                                 ","AL                                      ","36278                                   ",,,,,25155,,,,,34,12410,989,1367,59.0699996948242,,374,60,590
"010033","010033",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Reopened","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",,17209445,,13300110,,,4389051,271619,753,289475,64019,216085,5181,,10279,6399,35434
"010034","010034",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","COMMUNITY HOSPITAL  INC.                ","805 FRIENDSHIP DRIVE                    ","780700                                  ","TALLASSEE                               ","AL                                      ","36078-0707                              ","ELMORE                                  ",,,,188857,,,,,69,25185,5188,8478,164.869995117188,,1123,221,2155
"010035","010035",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","CULLMAN REGIONAL MEDICAL CENTER         ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056                                   ","CULMAN                                  ",,,,928363,,,,,115,45625,18915,33260,741.22998046875,,4110,1482,9894
"010036","010036",4/1/2001,"01-APR-01",3/31/2002,"31-MAR-02","Settled","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ","760                                     ","ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,414063,,,,,101,40515,8508,14268,206.910003662109,,2069,595,3835
"010038","010038",7/31/2001,"31-JUL-01",6/30/2002,"30-JUN-02","Settled","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ",,"ANNISTON                                ","AL                                      ","36201                                   ","CALHOUN                                 ",,,,551335,,,,,125,45625,10673,17086,401,,2132,328,3218
"010039","010039",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled w/Audit","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801                                   ",,,2192467,,6401116,,,755746,119893,738,297003,85213,181189,3754.02001953125,,15133,3880,36526
"010040","010040",1/1/2001,"01-JAN-01",12/31/2001,"31-DEC-01","Reopened","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35999                                   ","ETOWAH                                  ",,,,2414248,,,,,226,82490,35658,56180,870.960021972656,,5732,736,10945
"010043","010043",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Settled","CHILTON MEDICAL CENTER                  ","1010 LAY DAM ROAD                       ",,"CLANTON                                 ","AL                                      ","35045                                   ","CHILTON                                 ",,,,78310,,,,,60,21900,2034,2558,113.069999694824,,430,49,650
"010044","010044",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Settled","MARION BAPTIST MEDICAL CENTER           ","1315 MILITARY STREET SOUTH              ",,"HAMILTON                                ","AL                                      ","35570                                   ",,,,,77949,,,,,47,17155,3972,6486,121.849998474121,,1006,138,2076
"010045","010045",10/1/2000,"01-OCT-00",9/30/2001,"30-SEP-01","Reopened","FAYETTE MEDICAL CENTER DCH              ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555                                   ","FAYETTE                                 ",,,,236343,,,,,42,15330,6447,9054,248.190002441406,,1269,142,2116
"010046","010046",7/1/2001,"01-JUL-01",6/30/2002,"30-JUN-02","Reopened","RIVERVIEW REG L MEDICAL CENTER          ","600 SOUTH THIRD STREET                  ",,"GADSDEN                                 ","AL                                      ","35901                                   ","ETOWAH                                  ",,,,3588783,,,,,281,102565,36053,54864,833.900024414062,,5738,1394,10424
"010047","010047",1/1/2001,"01-JAN-01",12/31/2001,"31-DEC-01","Settled","GEORGIANA HOSPITAL                      ",,"152                                     ","GEROGIANA                               ","AL                                      ","36033                                   ",,,,,154223,,,,,22,8030,3610,5403,53.4000015258789,,1000,187,1555
