"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","As Submitted","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301-                                  ","HOUSTON                                 ",,,,9100099,,,,,408,148920,44902,93672,2213.78002929688,,8207,3920,18414
"010005","010005",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","As Submitted","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,2133439,,,,,114,41610,10028,21688,594.489990234375,,2360,1067,5818
"010007","010007",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,244570,,,,,78,28470,5524,8332,163.899993896484,,1174,144,1929
"010008","010008",1/1/2010,"01-JAN-10",12/31/2010,"31-DEC-10","As Submitted","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049-                                  ","CRENSHAW                                ",,,,404040,,,,,29,10585,1581,3452,98.1699981689453,,360,226,845
"010009","010009",2/1/2010,"01-FEB-10",1/31/2011,"31-JAN-11","Settled","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,97324,,,,,130,47450,2898,4140,121.580001831055,,707,83,1164
"010010","010010",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","As Submitted","MARSHALL MEDICAL CENTER - NORTH         ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976-                                  ","MARSHALL                                ",,,,1065936,,,,,89,32485,10029,19351,484,,2209,607,4710
"010012","010012",4/1/2010,"01-APR-10",3/31/2011,"31-MAR-11","Settled","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DR                   ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,1084705,,,,,97,35508,5849,13855,370.829986572266,,1666,998,4219
"010015","010015",4/1/2010,"01-APR-10",3/31/2011,"31-MAR-11","Settled","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784                                   ","CLARKE                                  ",,,,70072,,,,,27,9855,1158,2034,89.7699966430664,,388,164,764
"010016","010016",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,2226873,,,,,191,69715,15256,49487,783,,3151,2067,10198
"010018","010018",10/1/2009,"01-OCT-09",9/30/2010,"30-SEP-10","Reopened","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",,81655,,,,,26632,331728,16,5840,161,370,158.529998779297,,49,24,131
