"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2007,"01-OCT-07",9/30/2008,"30-SEP-08","Reopened","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,7988249,,,,,370,135420,45826,89676,,,9383,3611,19057
"010005","010005",10/1/2007,"01-OCT-07",9/30/2008,"30-SEP-08","Settled","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957                                   ","MARSHALL                                ",,,,2107986,,,,,108,39528,13260,24955,597.159973144531,,2813,1382,6904
"010006","010006",7/1/2008,"01-JUL-08",6/30/2009,"30-JUN-09","Settled","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631-                                  ","LAUDERDALE                              ",,,,3050706,,,,,369,134685,32666,60986,939.5,,5746,1965,13326
"010007","010007",10/1/2007,"01-OCT-07",9/30/2008,"30-SEP-08","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,444014,,,,,90,32940,5250,8016,163.919998168945,,1210,282,2110
"010008","010008",1/1/2008,"01-JAN-08",12/31/2008,"31-DEC-08","Settled","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049-                                  ","CRENSHAW                                ",,,,242342,,,,,29,10614,2018,4222,95.1699981689453,,453,299,1103
"010009","010009",2/1/2008,"01-FEB-08",1/31/2009,"31-JAN-09","Settled","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,188007,,,,,130,47580,3193,4538,122.080001831055,,850,125,1366
"010010","010010",10/1/2007,"01-OCT-07",9/30/2008,"30-SEP-08","Settled","MARSHALL MEDICAL CENTER - NORTH         ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ","MARSHALL                                ",,,,1095821,,,,,90,32940,10097,18137,458.100006103516,,2051,732,4391
"010011","010011",7/1/2008,"01-JUL-08",6/30/2009,"30-JUN-09","Settled","ST. VINCENT S EAST                      ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1625756,,1834167,,,784981,201475,272,99280,25457,74438,1191.2099609375,,4520,2359,14315
"010012","010012",4/1/2008,"01-APR-08",3/31/2009,"31-MAR-09","Settled","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DR                   ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,1275958,,,,,103,37595,6627,13822,369.790008544922,,1888,1112,4871
"010015","010015",4/1/2008,"01-APR-08",3/31/2009,"31-MAR-09","Settled","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784-                                  ","CLARKE                                  ",,,,118575,,,,,27,9855,2163,3851,104.730003356934,,589,151,1216
