"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2004,"01-OCT-04",9/30/2005,"30-SEP-05","Reopened","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301-                                  ","HOUSTON                                 ",,,,7577211,,,,,345,125925,51097,92358,2095.0400390625,,10212,3199,20172
"010005","010005",10/1/2004,"01-OCT-04",9/30/2005,"30-SEP-05","Reopened","MARSHALL MEDICAL CENTER-SOUTH           ","HIGHWAY 431                             ",,"BOAZ                                    ","AL                                      ","35657                                   ","MARSHALL                                ",,,,1724745,,,,,108,39420,14303,24961,568.789978027344,,2716,842,6482
"010006","010006",7/1/2005,"01-JUL-05",6/30/2006,"30-JUN-06","Reopened","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631                                   ","LAUDERDALE                              ",,,,3955973,,,,,328,119720,40126,66996,948,,6848,2128,14177
"010007","010007",10/1/2004,"01-OCT-04",9/30/2005,"30-SEP-05","Reopened","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,469738,,,,,90,32850,6693,10665,185.770004272461,,1466,327,2645
"010008","010008",1/1/2005,"01-JAN-05",12/31/2005,"31-DEC-05","Settled","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,274923,,,,,29,10585,2141,3493,89.8000030517578,,565,289,1135
"010009","010009",2/1/2005,"01-FEB-05",1/31/2006,"31-JAN-06","Reopened","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,337455,,,,,130,47450,4133,5651,129.610000610352,,1083,198,1655
"010010","010010",10/1/2004,"01-OCT-04",9/30/2005,"30-SEP-05","Reopened","MARSHALL MEDICAL CENTER  - NORTH        ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ","MARSHALL                                ",,,,1041879,,,,,90,32850,11492,19611,410.989990234375,,2147,761,4537
"010011","010011",7/1/2005,"01-JUL-05",6/30/2006,"30-JUN-06","Reopened","MEDICAL CENTER EAST                     ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1314024,,1288498,,,795995,151005,274,99280,25697,63541,1140.10998535156,,4634,1365,12503
"010012","010012",7/1/2005,"01-JUL-05",3/31/2006,"31-MAR-06","Reopened","BMC - DEKALB                            ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,752445,,,,,87,23838,4763,11175,215.899993896484,,1173,840,3419
"010015","010015",4/1/2005,"01-APR-05",3/31/2006,"31-MAR-06","Reopened","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784                                   ","CLARKE                                  ",,,,300869,,,,,27,9855,2517,4525,86.7099990844727,,635,186,1258
