"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Reopened","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301-                                  ","HOUSTON                                 ",,,,7759251,,,,,345,126270,51615,95078,2084.26000976562,,10090,3562,19372
"010005","010005",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Reopened","MARSHALL MEDICAL CENTER SOUTH           ","HIGH WAY 431                            ",,"BOAZ                                    ","AL                                      ","35657                                   ","MARSHALL                                ",,,,1437668,,,,,108,39420,13530,24375,561,,2553,1140,6256
"010006","010006",7/1/2004,"01-JUL-04",6/30/2005,"30-JUN-05","Settled w/Audit","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631                                   ","LAUDERDALE                              ",,,,3642321,,,,,328,119720,42592,72393,919.409973144531,,7253,1937,15205
"010007","010007",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ",,"OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,487040,,,,,90,34404,6917,11088,162.110000610352,,1449,395,2728
"010008","010008",1/1/2004,"01-JAN-04",12/31/2004,"31-DEC-04","Settled","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,202492,,,,,29,10614,2279,3889,84,,579,265,1169
"010009","010009",2/1/2004,"01-FEB-04",1/31/2005,"31-JAN-05","Reopened","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,278156,,,,,130,47580,4119,5715,114.389999389648,,1060,166,1658
"010010","010010",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Settled w/Audit","MARSHALL MEDICAL CENTER NORTH           ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ","MARSHALL                                ",,,,635550,,,,,90,32850,12604,22617,447,,2306,847,5020
"010011","010011",7/1/2004,"01-JUL-04",6/30/2005,"30-JUN-05","Settled w/Audit","MEDICAL CENTER EAST                     ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1322784,,1177521,,,787918,134572,274,99280,27855,68766,1084.01000976562,,5010,1317,13743
"010012","010012",7/1/2004,"01-JUL-04",6/30/2005,"30-JUN-05","Reopened","BMC - DEKALB                            ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,817962,,,,,103,37595,5825,14270,293.440002441406,,1453,1564,4296
"010015","010015",12/1/2003,"01-DEC-03",3/31/2004,"31-MAR-04","Reopened","THOMASVILLE INFIRMARY                   ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784                                   ","CLARKE                                  ",,,,38805,,,,,27,3267,841,1458,80.4199981689453,,219,67,418
"010015","010015",4/1/2004,"01-APR-04",3/31/2005,"31-MAR-05","Settled","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784                                   ","CLARKE                                  ",,,,257070,,,,,27,9855,2693,4143,87.0999984741211,,602,228,1249
"010016","010016",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ","488                                     ","ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,1839115,,,,,174,63510,21139,48756,742.010009765625,,4172,1795,11118
"010018","010018",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Reopened","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",,242582,,47551,,,26716,203329,20,7320,339,956,139.800003051758,,193,50,544
"010019","010019",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","Settled w/Audit","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660                                   ","COLBERT                                 ",,,,1857163,,,,,185,67710,17297,30942,564.47998046875,,3564,1535,8289
"010021","010021",10/1/2003,"01-OCT-03",9/30/2004,"30-SEP-04","As Submitted","DALE MEDICAL CENTER                     ","126 HOSPITAL AVENUE                     ",,"OZARK                                   ","AL                                      ","36360                                   ","DALE                                    ",,,,456108,,,,,79,32485,4922,8524,290.820007324219,,1271,428,2678
"010022","010022",7/1/2004,"01-JUL-04",6/30/2005,"30-JUN-05","Reopened","BAPTIST MEDICAL CENTER - CHEROKEE       ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960                                   ","CHEROKEE                                ",,,,240784,,,,,45,16425,3640,4819,86.6699981689453,,758,128,1192
"010023","010023",7/1/2004,"01-JUL-04",6/30/2005,"30-JUN-05","Settled w/Audit","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116                                   ","MONTGOMERY                              ",,2514310,,13119687,,,649558,115220,355,151840,28673,81871,1448.59997558594,,6547,5342,19739
