"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010001","010001",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,2265536,,,0.136899992823601,,,387,141642,44473,12838,97665,,2397.42993164062,,8529,3115,19632,191,,,,,,
"010005","010005",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,741069,,,0.124099999666214,,,204,74664,17977,6959,38875,,1113.19995117188,,3659,1446,9406,,,,,,,
"010006","010006",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","Amended","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO STREET                      ","818                                     ","FLORENCE                                ","AL                                      ","35630                                   ","LAUDERDALE                              ",,,,149644,860025,,0.0971999987959862,,,358,130670,28695,9676,61741,,971.119995117188,,5551,2018,12896,50,,,,,,
"010007","010007",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,44993,,,0.0496999993920326,,,45,16470,3118,483,4450,,140.410003662109,,764,159,1179,,,,24,,260,
"010008","010008",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","CRENSHAW COMMUNITY HOSPITAL             ","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ","LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,25842,,,0.129899993538857,,,29,10614,840,120,1216,,87.8300018310547,,195,37,328,,,,139,,671,
"010011","010011",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","Amended","ST. VINCENTS EAST                       ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235-                                  ","JEFFERSON                               ",796646,,,794670,,,0.106100000441074,733659,197330,312,113880,23016,13394,87713,14.0299997329712,1063.76000976562,,3641,2159,15371,,,,20,17,433,286
"010012","010012",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,188970,,,0.119999997317791,,,97,35405,4691,2957,11884,,360.519989013672,,1081,784,3141,,,,13,,238,
"010016","010016",10/3/2015,"03-OCT-15",12/31/2015,"31-DEC-15","Amended","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,92156,,,0.064300000667572,,,212,19080,3588,1703,12514,,875.200012207031,,731,473,2718,,,,65,,332,
"010016","010016",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,584688,,,0.0900000035762787,,,212,77592,16230,8811,53086,,734.690002441406,,3234,1447,11045,,,,227,,1332,
"010018","010018",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",60834,,,,,,,43784,407784,12,4392,138,2,232,7.53999996185303,204.080001831055,,37,1,64,,,,,,,
"010019","010019",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,662423,,,0.169400006532669,,,185,67710,11498,6711,25969,,654.599975585938,,2653,2202,6507,,,,,,,
"010021","010021",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360-                                  ","DALE                                    ",,,,107466,,,0.119999997317791,,,77,28182,3618,1864,8067,,284.929992675781,,678,343,1530,,,,27,,240,
"010022","010022",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960-                                  ","CHEROKEE                                ",,,,106936,,,0.271899998188019,,,45,16425,2344,677,4349,,109.519996643066,,315,155,857,,,,,,,
"010023","010023",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",2911189,,,2471175,,,0.237000003457069,555724,527742,329,120085,24548,26772,87146,39.4700012207031,1773.68994140625,,4977,3659,18594,,,,,,2059,
"010024","010024",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-1109                              ","MONTGOMERY                              ",,,,1028698,,,0.107699997723103,,,241,88206,26964,10954,71822,,1318.73999023438,,4661,1798,14647,,,,,,,
