"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Settled w/Audit","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301-                                  ","HOUSTON                                 ",,,,7244232,,,,,345,128845,50234,93357,2163.28002929688,,9601,2466,19651
"010005","010005",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Settled","MARSHALL MEDICAL CENTER SOUTH           ","HIGH WAY 431                            ",,"BOAZ                                    ","AL                                      ","35657                                   ","MARSHALL                                ",,,,1180408,,,,,108,39420,14204,24517,571,,2595,1069,6140
"010006","010006",7/1/2003,"01-JUL-03",6/30/2004,"30-JUN-04","Reopened","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631                                   ","LAUDERDALE                              ",,,,3887270,,,,,328,120048,45195,78714,1083,,7640,2374,16601
"010007","010007",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,262956,,,,,90,32850,6184,9778,169.690002441406,,1293,313,2394
"010008","010008",1/1/2003,"01-JAN-03",12/31/2003,"31-DEC-03","Settled","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,115049,,,,,29,10585,2540,4496,153.259994506836,,651,342,1480
"010009","010009",2/1/2003,"01-FEB-03",1/31/2004,"31-JAN-04","Reopened","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,270214,,,,,130,47450,4558,5937,128.800003051758,,1138,125,1698
"010010","010010",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Settled","MARSHALL MEDICAL CENTER NORTH           ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ","MARSHALL                                ",,,,461063,,,,,90,32850,11987,20523,434,,2270,774,4785
"010011","010011",7/1/2003,"01-JUL-03",6/30/2004,"30-JUN-04","Settled w/Audit","MEDICAL CENTER EAST                     ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1348321,,854781,,,821142,141516,245,89670,27603,64095,973.299987792969,,5188,950,14324
"010012","010012",7/1/2003,"01-JUL-03",6/30/2004,"30-JUN-04","Reopened","BMC - DEKALB                            ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,827132,,,,,103,37595,7142,16164,314.209991455078,,1709,1003,4900
"010015","010015",4/1/2003,"01-APR-03",11/30/2003,"30-NOV-03","Reopened","THOMASVILLE INFIRMARY                   ","144 HIGHWAY 43 NORTH                    ",,"THOMASVILLE                             ","AL                                      ","36784-                                  ","CLARKE                                  ",,,,56071,,,,,27,6588,1202,2118,86,,323,102,662
"010016","010016",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ","488                                     ","ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,1916888,,,,,192,71442,21439,48309,777.840026855469,,4248,1070,11217
"010018","010018",10/1/2002,"01-OCT-02",9/30/2003,"30-SEP-03","Reopened","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",,326798,,61220,,,55033,286032,20,7300,482,972,145,,272,45,602
