"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010016","010016",10/1/2010,"01-OCT-10",12/31/2010,"31-DEC-10","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,514439,,,,,192,17664,4038,12253,707.539978027344,,876,534,2595
"030130","030130",11/12/2010,"12-NOV-10",12/31/2010,"31-DEC-10","Settled","BANNER IRONWOOD MEDICAL CENTER          ","37000 NORTH GANTZEL ROAD                ",,"SAN TAN VALLEY                          ","AZ                                      ","85140                                   ","PINAL                                   ",,,,29629,,,,,36,1800,148,841,222.580001831055,,48,70,281
"050727","050727",10/1/2010,"01-OCT-10",4/28/2011,"28-APR-11","Settled","COMMUNITY HOSPITAL OF LONG BEACH        ","1720 TERMINO AVENUE                     ",,"LONG BEACH                              ","CA                                      ","90804                                   ","LOS ANGELES                             ",,,,625054,,,,,130,27170,3962,7457,419.869995117188,,738,190,1799
"052049","052049",10/1/2010,"01-OCT-10",10/31/2010,"31-OCT-10","Settled","RANCHO SPECIALTY HOSPITAL               ","10841 WHITE OAK AVENUE.                 ",,"RANCHO CUCAMONGA                        ","CA                                      ","91730-0000                              ","LOS ANGELES                             ",,,,,,,,,55,1705,1257,1522,263.470001220703,,51,,79
"052050","052050",11/1/2010,"01-NOV-10",12/31/2010,"31-DEC-10","Settled","KINDRED HOSPITAL OF SOUTH BAY           ","1246 WEST 155TH STREET                  ",,"GARDENA                                 ","CA                                      ","90247                                   ","LOS ANGELES                             ",,,,,,,,,84,5124,4505,4620,320,,172,,172
"052052","052052",11/1/2010,"01-NOV-10",12/31/2010,"31-DEC-10","Settled","KINDRED HOSPITAL - RIVERSIDE            ","2224 MEDICAL CENTER DRIVE               ",,"PERRIS                                  ","CA                                      ","92571                                   ","LOS ANGELES                             ",,,,,,,,,40,2440,1893,2045,169,,58,,66
"150170","150170",1/1/2011,"01-JAN-11",4/13/2011,"13-APR-11","Settled","SURGICAL HOSPITAL OF MUNSTER            ","7847 CALUMET AVENUE                     ",,"MUNSTER                                 ","IN                                      ","46321                                   ","LAKE                                    ",,,,,,,,,9,927,9,51,33.2599983215332,,3,,24
"150178","150178",4/26/2011,"26-APR-11",12/31/2011,"31-DEC-11","Settled","CANCER CARE PARTNERS                    ","201 EAST DAY ROAD                       ","                                        ","MISHAWAKA                               ","IN                                      ","46545                                   ","SAINT JOSEPH                            ",,,,,,,,,,,,,,,,,
"200032","200032",10/1/2010,"01-OCT-10",11/30/2010,"30-NOV-10","Settled","STEPHENS MEMORIAL HOSPITAL              ","181 MAIN STREET                         ",,"NORWAY                                  ","ME                                      ","04268                                   ","OXFORD                                  ",,,,50225,,,,,50,3050,586,1004,343.790008544922,,155,44,304
"240066","240066",10/1/2010,"01-OCT-10",3/31/2011,"31-MAR-11","Settled","LAKEVIEW MEMORIAL                       ","927 WEST CHURCHILL STREET               ",,"STILLWATER                              ","MN                                      ","55082                                   ","WASHINGTON                              ",,,,,,,,,68,12376,2110,5681,427.549987792969,,689,261,1922
